[24.09.2014 17:31:34] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:31:34] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:31:34] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:32:51] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:32:51] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:32:51] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:32:51] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:32:51] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:32:51] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:35:39] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:35:39] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:35:39] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:35:39] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:35:39] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:35:39] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:47:04] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:47:04] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:47:04] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:47:04] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:47:04] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:47:04] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:49:58] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:49:58] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:49:58] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:49:58] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:49:58] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:49:58] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:51:02] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:51:02] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:51:02] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:51:02] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:51:02] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:51:02] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:51:53] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:51:53] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:51:53] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:51:53] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:51:53] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:51:53] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:56:35] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:56:35] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:56:35] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:56:35] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:56:35] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:56:35] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:56:49] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:56:49] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:56:49] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:56:49] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
